"","DGAT2","CD59","JUP","BLOC1S1","PAM_50","tissue type","IRE1 gene sig(Logue et al. 2018)","GOBP_IRE1_MEDIATED_UNFOLDED_PROTEIN_RESPONSE.txt","HALLMARK_UNFOLDED_PROTEIN_RESPONSE.txt","Lommond_2018_RIDD.txt","REACTOME_ACTIVATION_OF_CHAPERONE_GENES_BY_XBP1S.txt","REACTOME_IRE1ALPHA_ACTIVATES_CHAPERONES.txt","REACTOME_UNFOLDED_PROTEIN_RESPONSE_UPR.txt"
"TCGA-E9-A1RH-11A-34R-A169-07",21.866976923347,21.5064346843106,19.1456450656128,18.4514658001826,NA,"Solid Tissue Normal",-1.4609191996412,18.6007724676194,19.2160735907836,19.4333150405346,18.7451305536316,18.820620797636,18.8250765517674
"TCGA-E2-A15E-01A-11R-A12D-07",14.4322275809992,21.1316816406187,21.2512433361044,17.867490356022,"LumA","Primary solid Tumor",-3.01068638201125,18.7487309155356,19.4339987310056,18.8577655488569,18.6919120198436,18.8352428303484,18.9135680907715
"TCGA-BH-A1F6-11B-94R-A13Q-07",20.3407671731728,22.0275188404584,19.499893062093,17.3540541751881,NA,"Solid Tissue Normal",-1.07242762786455,18.4217758264455,18.94060980001,19.3141456794166,18.4996331394901,18.6258230006203,18.7358066802334
"TCGA-E2-A1IF-01A-11R-A144-07",16.7862500939482,20.9173869350253,21.2137163451387,19.2407340452262,"LumA","Primary solid Tumor",-2.16475669058329,19.0333045333672,19.3808653461175,18.9020798612934,19.0585259714074,19.1554322250234,19.2413270763619
"TCGA-A2-A0CY-01A-12R-A034-07",15.9903504537037,20.0928115239351,21.6257747477737,18.7401195418583,"LumB","Primary solid Tumor",-1.75964567943992,19.4647728584694,20.5420333975813,18.805177765222,19.4896599848731,19.5823020156765,19.905166147097
"TCGA-BH-A0BF-01A-21R-A12P-07",15.8842350935926,20.8913944571347,19.9982170783554,17.9738078532356,"LumB","Primary solid Tumor",-1.73274211851522,18.8661803645486,19.4037686884688,18.8567085909945,18.9755600285305,19.0611378577806,19.15024020181
"TCGA-B6-A0RQ-01A-11R-A115-07",16.7989118834544,21.906411942493,21.2810108973118,17.9987002313302,"Normal","Primary solid Tumor",-2.40049415918181,18.8919866917673,19.5384590597433,18.8454096070665,18.7867214177738,18.9426952803314,19.021588542497
"TCGA-5T-A9QA-01A-11R-A41B-07",14.6538017927654,17.1278095015074,22.7109275165239,18.6779101476721,"LumB","Primary solid Tumor",-2.97640243577433,20.1494383938626,19.7654563094081,18.9823775975441,19.4977130742782,19.7132320886843,19.7549580507467
"TCGA-A2-A0YE-01A-11R-A109-07",16.6032908553644,20.82256883092,20.9442018770348,17.3687318580512,"Basal","Primary solid Tumor",-1.22328270083235,19.2361057481847,19.5943652125226,19.0135284229952,19.3840467807239,19.477308215568,19.5984903990012
"TCGA-BH-A0BQ-11A-33R-A115-07",17.6408582428199,21.9282010288152,20.5733389326994,17.4441572238547,NA,"Solid Tissue Normal",-1.27363073613622,18.5800433079908,19.3179145309258,18.8354921723225,18.601351353516,18.7532276271323,18.8311291198142
"TCGA-A8-A07S-01A-11R-A034-07",14.6879539212367,20.956432111805,21.0856595713727,18.4116111668139,"LumB","Primary solid Tumor",-2.38732694136268,19.2688830127277,19.5507425770993,18.8746424581744,19.113588978636,19.4370628796411,19.3091644334129
"TCGA-AC-A3EH-01A-22R-A22K-07",15.3497336598248,19.8832401707734,22.4592309521485,18.4658200364226,"LumA","Primary solid Tumor",-3.66164953982665,19.0737984732762,19.4518962779879,18.8652367538006,19.0672110061444,19.1649876471683,19.1192040420572
"TCGA-BH-A0GY-01A-11R-A056-07",15.9556528094555,20.6121685037546,21.4307390685867,17.1312308153786,"LumA","Primary solid Tumor",-2.00178808800714,19.1198283171326,19.7491159164838,18.8747325902835,18.9025014119678,19.0675287856551,19.2835311990153
"TCGA-LQ-A4E4-01A-11R-A266-07",16.7020754932728,18.8946696696073,20.2129127176901,18.4042466232095,"LumA","Primary solid Tumor",-2.37801903856668,19.8815931090549,19.4085872943732,18.8982878299579,18.8696944490158,19.066850162355,19.0523586291505
"TCGA-D8-A27N-01A-11R-A16F-07",16.7953286260789,20.2796528116856,20.1434345397273,17.9982066833106,"LumB","Primary solid Tumor",-2.00844491823921,19.4986674099075,19.6857298312411,18.9898394889186,19.1802820386824,19.3144439725576,19.35290663025
"TCGA-BH-A0DV-01A-21R-A12P-07",14.7681703314047,21.3126302669225,20.9828514246662,18.4162363984886,"LumA","Primary solid Tumor",-2.50219848692443,19.0009564983632,19.3732928324643,18.9866957920652,19.027567020387,19.1490837821715,19.1676621062258
"TCGA-BH-A0BC-11A-22R-A089-07",19.2105115060096,22.0517978994835,20.7996347879031,18.1872025668571,NA,"Solid Tissue Normal",-1.66498195150714,18.7456171702907,19.4855755097676,19.2449909347726,18.8259793246819,18.9288612605788,18.9845066266179
"TCGA-E9-A1N4-01A-11R-A14M-07",14.9893341810112,21.8573898709321,19.4841071920356,17.7510432278157,"LumA","Primary solid Tumor",-1.64197805193439,19.092622878157,19.6695153181605,19.1749514301089,18.9185553334398,19.1666420063457,19.3005784604341
"TCGA-BH-A0E0-11A-13R-A089-07",17.7706809523286,21.9169667451437,21.5711462218331,18.5206078717467,NA,"Solid Tissue Normal",-1.97562350841828,18.983716801206,19.8530267816844,18.8369106465493,18.8379519007881,18.9964578411225,19.1060060810773
"TCGA-EW-A1PB-01A-11R-A144-07",17.8157261941784,22.1493963999503,20.6095968584465,18.4839449989513,"Basal","Primary solid Tumor",-1.01232927425114,19.1048745547509,19.9108910120771,18.5898546896125,19.1819273822282,19.2731451856306,19.5606922756193
"TCGA-A2-A0T4-01A-31R-A084-07",18.2331091245298,22.145382846047,21.0494789146256,18.7755042846779,"LumA","Primary solid Tumor",-2.61003586133485,19.0180299702354,19.4738623147896,18.9398112218449,18.9289889916787,19.0677174901296,19.0733911580021
"TCGA-AR-A1AJ-01A-21R-A12P-07",17.3453697652429,21.2925930427281,20.0955117099243,17.6042883124084,"Basal","Primary solid Tumor",0.60732796923638,18.9182056496912,19.4011861362062,18.7929310968731,18.8335574290652,19.18914872339,19.2713746356454
"TCGA-BH-A1EO-11A-31R-A137-07",19.8214420079489,21.9029567891715,18.6370859934077,19.064923238978,NA,"Solid Tissue Normal",-0.604544339465154,18.815121226937,19.3415290759177,19.5482638449206,18.9443902503614,19.0520777036441,19.1655734580854
"TCGA-MS-A51U-01A-31R-A266-07",14.856801105873,20.3593166779202,21.3605092460726,17.9265607930208,"LumA","Primary solid Tumor",-3.48768387260668,18.9192329882429,19.4426855133057,18.4891561188731,18.7271046521487,18.8961122863903,18.8898539153054
"TCGA-BH-A0DK-01A-21R-A056-07",16.2223315102366,20.4591512608781,20.6022374068012,18.5415729988672,"LumA","Primary solid Tumor",-2.27860610721303,19.6063686640618,19.6900899438528,18.8852860368527,19.1773059317098,19.367015529667,19.3853305910037
"TCGA-E9-A2JT-01A-22R-A18M-07",18.1042771452768,19.796542629348,19.012962652599,18.0336815341363,"LumA","Primary solid Tumor",-1.40230877344973,18.6928568185039,19.2728235266403,18.5301205045274,18.6676320816486,18.7711790880589,18.7967304403228
"TCGA-EW-A2FW-01A-11R-A17B-07",17.8338255486911,19.9077400870343,21.6257594592317,19.3394990288237,"LumB","Primary solid Tumor",-2.65578827716064,19.9764913754426,19.7253203067777,19.1252078505996,19.2654633891705,19.3783886587595,19.5722788754258
"TCGA-GM-A3NW-01A-21R-A22K-07",15.6898129872584,21.4444748567161,21.0079597136972,18.8718465672418,"LumA","Primary solid Tumor",-2.87302702091874,19.0696508722296,19.7846746910128,18.7596469701136,18.9597352200742,19.0603910029336,19.0769969362832
"TCGA-A8-A09Z-01A-11R-A00Z-07",14.1260434916875,20.9056972025938,22.3265052171028,18.456253058122,"LumB","Primary solid Tumor",-2.98862214531239,20.2594022198579,20.3696665039938,19.4287624125351,19.7166047759309,20.4966720793827,20.2919331142863
"TCGA-D8-A1XG-01A-11R-A14D-07",16.492959391073,21.3226624995576,21.0064766251775,17.8396526562868,"LumA","Primary solid Tumor",-2.10045537387132,19.1866979655013,19.5270964178319,19.0909416977394,19.0921749612956,19.4069562648299,19.3811378860031
"TCGA-AN-A0XT-01A-11R-A109-07",16.4422411529895,21.9265655657189,20.2657579791111,17.8122060375484,"LumA","Primary solid Tumor",-2.33192073261522,18.9325854550106,19.4288372949973,18.7452225617711,18.6468261398987,18.9210949920681,18.9447999714596
"TCGA-AR-A24P-01A-11R-A169-07",15.6151759831654,21.0221564686476,21.077483702117,17.6315586965711,"LumA","Primary solid Tumor",-2.4550113612967,18.9018356200116,19.3085218416311,18.7834483534113,18.7900807154959,18.9606821163433,18.9213177969291
"TCGA-D8-A1X6-01A-11R-A14M-07",19.2627550945451,21.4144807831165,20.3559322513565,18.6531904451329,"LumB","Primary solid Tumor",-2.65744520111514,18.8282267920256,19.7453463583987,18.6586741337696,18.6842098417267,18.7891269794412,18.9018008749385
"TCGA-E2-A14U-01A-11R-A22K-07",14.6531301156856,20.9524215388981,21.1886660439279,18.0063879918851,"LumA","Primary solid Tumor",-2.75120474634016,18.8289463623026,19.4997349997015,18.5464684332849,18.7321173594094,18.8474841007291,18.8993620354321
"TCGA-C8-A26Y-01A-11R-A16F-07",15.301447086478,21.1171731351504,21.3416686068079,18.0510979402776,"Her2","Primary solid Tumor",-2.48412349479413,19.0073458518269,19.3392255608371,18.824430422243,19.0557059518747,19.255348514317,19.2293456397416
"TCGA-AO-A0J5-01A-11R-A034-07",16.8357654650492,20.0084342317212,20.3599608589019,18.2218562721154,"LumA","Primary solid Tumor",-2.50009766114093,19.1487763095287,19.5336187397208,19.1181497017604,19.2738494844248,19.383648639447,19.4059222400843
"TCGA-LL-A6FQ-01A-11R-A31O-07",16.2552015033334,20.3124641141009,22.3441573196689,20.219230206138,"LumA","Primary solid Tumor",-5.15578597706115,19.4778928924908,20.1058511135,18.872110282689,19.2368595526548,19.3039518825367,19.5432178756835
"TCGA-A2-A0CU-01A-12R-A034-07",17.2072449329618,19.8947552688396,22.7086549011682,18.9239763073206,"LumA","Primary solid Tumor",-4.06959692965564,19.8202628237783,19.6745187079117,18.7385066280741,18.8854661361257,19.0921086414826,19.0820026570838
"TCGA-BH-A42V-01A-11R-A24H-07",15.1254524368054,20.5463986512119,20.8982481800607,18.4472540627019,"LumA","Primary solid Tumor",-2.66303807336526,18.8802440223381,19.6107018671942,19.7389872486655,18.7891448819023,18.8742736346205,18.9459697786928
"TCGA-A2-A25A-01A-12R-A16F-07",14.2806292273672,21.1132242799374,20.0580292504303,18.098223471691,"Normal","Primary solid Tumor",-1.74445319261717,18.7870806221135,19.2504924616713,18.8335726420217,18.7281876847924,18.8598711173037,18.9335158888169
"TCGA-E2-A1LS-01A-12R-A157-07",17.5151499292977,24.4635825646501,20.8289950930425,19.2508732563803,"Basal","Primary solid Tumor",-0.773570119138629,19.207016453038,19.7039350749978,19.3097032455982,19.3316031070286,19.4642994809187,19.7148396071249
"TCGA-B6-A0RT-01A-21R-A084-07",17.6901924530615,20.6039146370285,20.1603126734238,17.6970516418994,"Basal","Primary solid Tumor",-0.311527234315768,18.8109576641508,19.3652219973893,18.5199041152286,18.8891351693977,19.0312500479107,19.0645752581682
"TCGA-A7-A3J0-01A-11R-A213-07",13.390456462034,21.1939153105969,22.0741316891209,17.8511942781669,"LumA","Primary solid Tumor",-2.07169790474631,19.357660591497,19.790837049309,19.1639898977982,19.1306954694983,19.4113331434446,19.3784903998176
"TCGA-A8-A09N-01A-11R-A00Z-07",14.1741692564006,20.5553179402928,20.7570517754809,18.3705380518898,"LumB","Primary solid Tumor",-2.91927765756445,19.3676337856145,19.764068730046,19.0763208749673,19.1513801371506,19.3895022936906,19.4304518412706
"TCGA-BH-A5IZ-01A-11R-A27Q-07",17.4721308596329,21.5970823633316,21.3985414628333,18.0010890478453,"Basal","Primary solid Tumor",-0.503891401255775,19.4277707951629,19.8175864639728,18.8023843327108,19.5960692201592,19.6862947247232,19.6635017689916
"TCGA-D8-A1JG-01B-11R-A13Q-07",15.676008001491,20.6200442974447,21.0350938183309,17.3204327294199,"Her2","Primary solid Tumor",-1.53760259692517,19.0313584341796,19.5648984627968,19.1777860647645,18.8905125696629,19.1927507176909,19.3236122672006
"TCGA-A2-A04V-01A-21R-A034-07",14.6614874481947,20.2794122131351,21.6736879797856,18.3371774189175,"LumA","Primary solid Tumor",-3.20266555254704,19.0432245683441,19.9219122775364,19.0223562463855,18.8065158269596,18.9001984762179,19.0120882916257
"TCGA-BH-A18V-01A-11R-A12D-07",16.1007041672261,21.9375458009203,21.7151662295281,17.0736898463734,"Basal","Primary solid Tumor",-0.206233872507173,19.4446562459384,19.7774854775585,19.2948123570432,19.6042511759842,19.737541941948,19.6670939148256
"TCGA-E2-A1L7-11A-33R-A144-07",16.6379544577369,21.5401274601362,20.7439715598576,17.8352578700352,NA,"Solid Tissue Normal",-1.97091931118114,18.7945675728691,19.4345066365625,18.7301168160669,18.7731696365034,18.9185488295859,18.9822178539183
"TCGA-BH-A0BA-01A-11R-A056-07",16.396060011432,20.1792556536247,20.3717500663287,17.9249842374936,"LumA","Primary solid Tumor",-2.20937584075815,18.7649431695689,19.2220435284662,18.6415347552188,18.6895960988566,18.789772265903,18.9845624380359
"TCGA-E2-A155-01A-11R-A12D-07",12.7931687628482,21.4667734875469,21.4625134383523,17.5965355827349,"LumB","Primary solid Tumor",-3.34760376339097,19.2222170375627,19.630145827083,19.0370012356934,19.0408064084265,19.2014218423751,19.1784785617216
"TCGA-A8-A0AB-01A-11R-A034-07",14.7255009723627,19.5131976677165,21.4389131929386,18.2880100371054,"LumA","Primary solid Tumor",-2.80633495920299,18.789697189235,19.3842891191926,18.9819273142781,18.784831809867,18.8233526922662,18.8635624864025
"TCGA-BH-A1F2-11A-32R-A13Q-07",21.5086319944724,21.0737100546487,20.120936816309,17.9082886639532,NA,"Solid Tissue Normal",-1.58574456958971,18.5213318667467,19.2036881551705,18.9175313602821,18.6641413272925,18.724299277555,18.853199547103
"TCGA-A8-A0A7-01A-11R-A00Z-07",14.8695904627733,20.9063679988971,20.1147384821374,18.354387649199,"Her2","Primary solid Tumor",-2.56014468449962,19.030953409095,19.4420029911817,18.9485779844168,19.0657563018498,19.1812524231715,19.1820377474781
"TCGA-AC-A23C-01A-12R-A169-07",15.6696681736171,20.9318273842807,20.2817983505129,17.9894003909243,"LumA","Primary solid Tumor",-2.17193534657381,18.8837021461998,19.3141816405072,19.0354464808581,18.8341220833716,19.0238994290215,19.1041527137582
"TCGA-OL-A5DA-01A-11R-A27Q-07",14.2216518024021,19.8450801854462,21.838253905895,18.4510157466066,"LumA","Primary solid Tumor",-2.99317677417478,18.7761344104144,19.4168569524827,18.7577109535267,18.8157853698391,18.8651216918905,18.8603712917694
"TCGA-BH-A1FB-11A-33R-A13Q-07",17.3343538415225,21.4999473058305,20.665720162981,17.6396023884353,NA,"Solid Tissue Normal",-1.82247307355127,18.5819511929931,19.2304181824501,18.7513851618665,18.6454716482635,18.7476546409661,18.8680996779154
"TCGA-A2-A0YH-01A-11R-A109-07",15.9792207330143,19.7177264513518,20.7357569126128,17.8492464342734,"LumB","Primary solid Tumor",-2.57437815647606,19.0273622148491,19.4753533939516,18.6169048315326,18.8093560158114,18.9315533348095,19.0062465899419
"TCGA-E2-A15K-11A-13R-A12P-07",19.312012643188,21.9904171220813,21.0506115679945,19.2924710979035,NA,"Solid Tissue Normal",-1.58103295021338,18.8192869152628,19.5942248605729,19.0651002777807,18.9573518780583,19.0080658010295,19.1662079523987
"TCGA-AO-A0JJ-01A-11R-A056-07",17.7182606117121,21.1295554270971,20.4910950593031,18.3701290613123,"LumA","Primary solid Tumor",-2.44193750470037,19.2785706069937,19.4125169816196,18.8421314998299,18.866570085764,19.0603721702599,19.0633907186942
"TCGA-BH-A0AW-01A-11R-A056-07",15.2799588667871,20.6752926121003,19.7948766150738,19.0069615470491,"Her2","Primary solid Tumor",-1.8900954248798,18.9657741965652,19.5817889373818,18.9585408027068,18.9284481082254,19.0647225607159,19.2154367721602
"TCGA-AC-A5XS-01A-11R-A29R-07",17.584704071499,20.5186407900265,21.6905695859045,19.2012330804264,"LumA","Primary solid Tumor",-2.92075039728801,19.8031646119667,19.526818092522,19.0160360858421,19.0763632555363,19.3151472107215,19.4082378650127
"TCGA-A7-A3IZ-01A-11R-A213-07",15.0364786250834,21.0320370292793,20.8061795808899,18.0242231226083,"LumA","Primary solid Tumor",-2.58385994175775,19.4264743866594,19.6772076030877,18.6881754798626,18.6710067516649,18.8887269011399,18.8524983510367
"TCGA-BH-A0BR-01A-21R-A115-07",15.3083550512756,21.1665493264354,20.8841088230159,17.9284623336512,"LumA","Primary solid Tumor",-2.16875181388011,19.8176335330253,19.8738245304541,18.9802079685076,19.1247299062532,19.6977041833902,19.8321238647096
"TCGA-AN-A0AJ-01A-11R-A00Z-07",14.1558572436969,19.7972028500392,20.5953101569779,18.722776917859,"LumB","Primary solid Tumor",-1.48103779151464,19.2382239247678,19.7987947024466,19.1187723633457,18.9244219147722,19.0282315858263,19.3004212205823
"TCGA-A2-A3XU-01A-12R-A22U-07",18.7845630564158,21.9848924758119,21.1483144803119,19.8091051916857,"Basal","Primary solid Tumor",-0.663262840656454,19.4029475228778,20.4645140977657,19.4742681361469,19.4914971445062,19.5917910470979,19.7970618371468
"TCGA-BH-A1FG-01A-11R-A13Q-07",12.9216366558128,20.6213921502636,22.0956965839431,18.2850907202428,"LumA","Primary solid Tumor",-3.76729025675763,19.8584508575716,19.8992300251508,19.0007340609839,19.0954908078703,19.4102895186623,19.4224369705417
"TCGA-D8-A27R-01A-11R-A16F-07",16.33085868639,19.2421244848769,22.1130325502476,18.5412984847168,"LumB","Primary solid Tumor",-2.66128083711474,19.0670122747489,19.670112854951,18.9149571754673,19.0001860239749,19.1346252232595,19.294092751443
"TCGA-BH-A2L8-01A-11R-A18M-07",16.3357475475498,20.3181410595698,20.4505840912293,18.5065660312649,"LumA","Primary solid Tumor",-1.77532310472224,18.9774514010326,19.6546913103525,18.8325568634053,18.8563806602001,19.0141876482205,19.0800177531992
"TCGA-E9-A1N9-01A-11R-A14D-07",14.4487055355874,20.0173601921985,20.3417684851211,16.9283285833527,"Basal","Primary solid Tumor",-1.36483334475333,18.6805637887544,19.7208312722172,18.8230565881052,18.7005734377269,18.8129942426326,19.1671481845329
"TCGA-HN-A2OB-01A-21R-A27Q-07",17.0732938929392,20.9992405612465,21.2600756719406,17.9729114616457,"LumA","Primary solid Tumor",-2.6952604266607,18.8587023408332,19.4264055965623,18.722453011457,18.7623516753433,18.8419228640525,18.8410955353716
"TCGA-A8-A09Q-01A-11R-A00Z-07",14.2619403815449,20.7008754700215,20.4660088864624,17.7264565369223,"LumB","Primary solid Tumor",-2.36507512296302,19.0234767841539,20.088678111356,19.1266357786174,19.0233431511183,19.157926118976,19.4014327714859
"TCGA-A7-A0D9-01A-31R-A056-07",16.1644831181252,20.0429342120993,21.8051181231659,17.3641691508396,"LumA","Primary solid Tumor",-2.47438631371192,18.8544704862925,19.6280257349127,18.4375705000892,18.6974756157631,18.8980421516048,19.013680062909
"TCGA-E9-A1NH-01A-11R-A14D-07",15.285618338491,20.8613136928976,20.8191804368119,17.992309746959,"LumA","Primary solid Tumor",-2.16057637294354,19.0608860850592,19.3100087898174,18.9579218526846,18.9524469180931,19.0525183776497,19.0568457033084
"TCGA-AR-A252-01A-11R-A169-07",16.6613591605484,20.5971847586863,19.6839447913996,17.2616466650861,"LumA","Primary solid Tumor",-1.7077070970488,19.1758893243186,19.3366154457608,18.9164745839221,18.8260096435764,19.0643919372029,19.0849580315698
"TCGA-D8-A1XS-01A-11R-A14M-07",13.4848158840359,20.625891666798,20.8019938865086,17.8671593378222,NA,"Primary solid Tumor",-2.62164709971589,18.9087419300841,19.4492612835707,18.9632346133609,18.7151327407606,18.8216426294754,18.9348725418353
"TCGA-AR-A2LQ-01A-22R-A18M-07",19.1852852457553,20.8956071976692,20.3923821086304,17.6024922712064,"Normal","Primary solid Tumor",-1.80812840202649,18.8651200787507,19.4174175952572,18.9559699961312,18.9797396180681,19.0541050714432,19.0599981974147
"TCGA-D8-A27W-01A-11R-A16F-07",15.7650340730592,19.3586969753891,22.0080156780418,18.3330907891455,"LumB","Primary solid Tumor",-2.67483750219292,19.520114515946,19.8614533275408,18.9166603786451,19.0077817926221,19.2036924003346,19.3225634883649
"TCGA-AR-A2LL-01A-11R-A180-07",15.0573733815447,20.1141756191072,21.986670566985,18.1890363014691,"LumB","Primary solid Tumor",-3.63238067932859,18.9098102191212,19.4744628070103,18.9529598890856,18.8604007148715,18.9127255280166,18.9275482068865
"TCGA-AR-A0TU-01A-31R-A109-07",18.6947905495819,21.0504968351766,19.8081271995603,18.098996778633,"Basal","Primary solid Tumor",0.595709452715127,18.8810141414744,20.0790820225591,18.7740266358458,18.8668402705164,19.070531781374,19.6116171285323
"TCGA-AR-A24L-01A-11R-A169-07",15.1648203739072,20.9907433442887,21.1992634418333,17.4885067585134,"LumA","Primary solid Tumor",-2.69118789032115,19.1936338613212,19.2429702608842,18.8664273844361,18.6768954025268,18.9076180100168,18.9021658278598
"TCGA-BH-A0HY-01A-11R-A056-07",14.6985456119043,20.8235769655751,21.0393268106758,17.8202525425866,"LumB","Primary solid Tumor",-2.75589219656349,19.4154247286156,19.6622969754926,19.5585465726757,19.4183417298032,19.6563234617076,19.5681541954337
"TCGA-E2-A14Q-01A-11R-A12D-07",14.3737108500456,20.8978594221441,20.4461254621344,18.4390401572691,"LumA","Primary solid Tumor",-2.55828552455451,19.4900161112954,19.3383936180438,18.7922234365797,18.8615310878286,18.9990725422945,19.04219201543
"TCGA-BH-A0DK-11A-13R-A089-07",15.7351177197706,21.6024784651771,20.7454571929682,17.4222684609876,NA,"Solid Tissue Normal",-2.60407648434577,18.9450706952927,19.4306475402709,18.8326564963459,18.8448863634002,19.0264176726167,19.1280845449844
"TCGA-S3-AA0Z-01A-11R-A41B-07",14.85599835762,22.7782433569178,21.4787874582585,18.1642246806879,"Basal","Primary solid Tumor",-0.883262665231879,19.2000479612901,19.4702563431466,18.9111922544413,19.3171388133809,19.4603267428028,19.5270053458596
"TCGA-BH-A0H0-01A-11R-A056-07",15.9224484761369,20.2022923678405,21.1482131900439,17.8449050223887,"LumB","Primary solid Tumor",-3.07671006640793,19.2816911658525,19.4584609269431,19.1292165223999,18.9739298434258,19.2149555760213,19.2018005228477
"TCGA-A8-A09A-01A-11R-A00Z-07",15.1994655879042,20.7438973427473,21.5677634314023,17.4289932855429,"LumA","Primary solid Tumor",-3.04313456180076,19.1753953812479,19.4308284602019,19.1234693272418,18.9218694330843,19.0947568413843,19.0225331258297
"TCGA-GM-A2DI-01A-31R-A18M-07",14.6533472232152,20.3276604000921,20.292503246018,17.7839626420381,"LumA","Primary solid Tumor",-2.140389146441,19.2371422647362,19.5068063448871,18.6654165788999,18.8606035395091,19.0292522678243,19.0021640837671
"TCGA-BH-A0DX-01A-11R-A115-07",16.6357548708699,20.4712348711847,20.6674982254995,18.6216842274704,"LumA","Primary solid Tumor",-1.95709295518847,19.049844311905,19.3538566385564,18.9871826437391,18.8880007737194,19.0836512445346,19.1486381489378
"TCGA-BH-A0BC-01A-22R-A084-07",16.6754984030751,20.0229332889484,20.391395411089,18.53439949017,"LumA","Primary solid Tumor",-2.02154532302272,19.147100261144,19.5905646574974,18.73198069673,19.086911107213,19.2522226484704,19.2011107559746
